,YEAR,X,Y,OILDISCOVERED_BINARY,GASDISCOVERED_BINARY
513,1990,710028.8375702415,6460025.658153089,0.0,0.0
514,1997,702147.795809945,6454739.764199394,1.0,0.0
515,1997,709483.4268395784,6456747.556259515,1.0,1.0
516,2008,709483.4268395784,6456747.556259515,1.0,0.0
517,2010,709334.8362774994,6457910.351109197,1.0,0.0
518,1972,716844.1086498243,6469527.570174896,1.0,0.0
519,1984,711801.9914421545,6466862.495686793,0.0,0.0
520,1990,715018.6211857203,6456524.738349395,0.0,1.0
521,1996,719372.200232744,6459302.771439211,1.0,0.0
522,2010,713313.4875220002,6456421.610837214,1.0,1.0
523,1990,718532.9204810794,6469574.464105801,1.0,0.0
524,1991,715778.4398438317,6470410.418763164,1.0,0.0
525,1992,721151.536303441,6468053.124534636,1.0,0.0
526,2005,722011.7518865158,6468292.545709675,1.0,0.0
527,2005,722011.7518865158,6468292.545709675,1.0,0.0
528,1996,716465.9414864925,6470675.724799074,1.0,0.0
529,2012,723094.7818910202,6456569.841014022,1.0,0.0
530,2005,725750.5565335683,6463088.604533654,1.0,0.0
531,2005,725750.5565335683,6463088.604533654,1.0,0.0
532,2005,725750.5565335683,6463088.604533654,1.0,0.0
533,1988,725321.1602300163,6463425.838041163,1.0,0.0
534,1992,725243.4521384265,6456558.531602077,0.0,1.0
535,2008,725619.9449532023,6462764.085935653,1.0,0.0
536,1984,732683.9629150138,6467266.926161697,0.0,0.0
537,2004,731617.8789273481,6458262.8876572335,1.0,0.0
538,2004,734478.1224539204,6455999.6412944095,1.0,0.0
539,2004,734478.1224539204,6455999.6412944095,1.0,0.0
540,2004,734478.1224539204,6455999.6412944095,1.0,0.0
541,1984,732683.9629150138,6467266.926161697,0.0,0.0
542,1990,733938.4091194702,6457683.381952375,1.0,0.0
543,2004,733776.39922752,6457740.888808601,1.0,0.0
544,2004,731285.1128249764,6460849.9319948815,1.0,0.0
545,2004,731285.1128249764,6460849.9319948815,1.0,0.0
546,2005,733416.7101041133,6457311.735955868,1.0,0.0
547,2006,733416.7101041133,6457311.735955868,1.0,0.0
548,2004,733402.93169421,6457309.713468867,1.0,0.0
549,2004,733402.93169421,6457309.713468867,1.0,0.0
550,2004,733402.93169421,6457309.713468867,0.0,0.0
551,2006,724582.5495468731,6466173.879425562,0.0,0.0
552,2015,725905.1488979671,6466085.571395992,1.0,0.0
553,2015,725905.1488979671,6466085.571395992,1.0,0.0
554,2004,730543.9130337808,6459656.210271586,1.0,0.0
555,2004,730543.9130337808,6459656.210271586,1.0,0.0
556,2004,730543.9130337808,6459656.210271586,1.0,0.0
557,1973,684503.3682799697,6443697.532625643,1.0,0.0
558,1982,685849.1672832847,6444822.701609808,1.0,0.0
559,1984,682386.1712707184,6444272.474140714,1.0,0.0
560,1985,686606.5985795197,6443857.742182339,1.0,0.0
561,1991,684105.9652778417,6451122.093228836,1.0,0.0
562,1991,684105.9652778417,6451122.093228836,0.0,0.0
563,1991,684105.9652778417,6451122.093228836,0.0,0.0
564,1992,685345.3259426474,6447402.664347059,0.0,0.0
565,2010,683691.4793660631,6437524.899140106,1.0,0.0
566,2010,683691.4793660631,6437524.899140106,0.0,1.0
567,1988,678655.6546805813,6434996.913468528,1.0,0.0
568,2007,677771.6619107962,6433296.1474478,1.0,0.0
569,1997,677103.038730379,6443326.911779895,1.0,0.0
570,1976,696510.4593857905,6439035.427303372,1.0,0.0
571,2004,697722.8312126253,6447800.132413992,1.0,0.0
572,2009,689948.4601433408,6435955.530745891,0.0,1.0
573,1976,696144.5346400816,6440729.914877465,1.0,0.0
574,1978,688930.606605118,6440195.685963504,0.0,0.0
575,1990,698374.4996001759,6441946.558591794,0.0,0.0
576,1992,697704.0349101616,6445578.1525598215,1.0,0.0
577,1998,697664.9940933774,6439174.098609276,1.0,0.0
578,2000,691124.5834153569,6434250.659977643,1.0,1.0
579,2014,690429.1799696744,6444331.300219093,0.0,0.0
580,2014,690415.4327420567,6444315.989069831,0.0,0.0
581,2014,690394.6908136576,6444323.420215735,1.0,1.0
582,1974,707101.8253281838,6439981.081368863,0.0,0.0
583,1977,702867.0302411816,6436198.221980062,0.0,0.0
584,1980,706999.1453598618,6447231.086935939,1.0,0.0
585,1992,704432.6052807575,6445246.630397644,1.0,0.0
586,2001,707847.144046155,6445887.667693073,1.0,1.0
587,1985,703534.7452389136,6441674.513184278,1.0,0.0
588,1992,706986.5845982437,6436541.917456389,1.0,0.0
589,2010,707666.2514246892,6435084.423980994,0.0,0.0
590,1975,717614.631783301,6434719.138592647,0.0,1.0
591,1996,722517.7415934823,6447278.507065992,1.0,0.0
592,2007,721870.4685833246,6450030.911082959,0.0,1.0
593,2007,721870.4685833246,6450030.911082959,1.0,0.0
594,2007,721870.4685833246,6450030.911082959,1.0,0.0
595,2007,721870.4685833246,6450030.911082959,1.0,0.0
596,2007,721870.4685833246,6450030.911082959,1.0,0.0
597,1994,722607.5041948475,6449258.641455057,1.0,0.0
598,1999,720031.00805991,6435109.715984201,1.0,1.0
599,2000,721219.065529774,6435047.652736307,1.0,0.0
600,1989,720158.3558281882,6437220.501987352,0.0,0.0
601,1989,720158.3558281882,6437220.501987352,0.0,0.0
602,1975,726369.1952597477,6444251.689470596,0.0,1.0
603,1992,732200.435712627,6443698.596796971,0.0,1.0
604,1995,726609.4018170168,6447506.466744247,0.0,0.0
605,1995,726609.4018170168,6447506.466744247,1.0,1.0
606,2003,727378.2082551791,6446439.799016985,0.0,0.0
607,1977,726366.007275352,6446561.290456481,0.0,1.0
608,1980,735375.4463269375,6446474.167408263,0.0,1.0
609,1982,728041.0772031368,6449442.513828556,1.0,0.0
610,1988,733632.1059107098,6443277.207152611,1.0,1.0
611,1989,729911.3932893209,6442757.944389269,0.0,1.0
612,1990,726454.151747588,6442781.073064157,0.0,1.0
613,1991,734452.0344855161,6445777.768818001,0.0,0.0
614,1991,732610.3987678488,6442369.76495148,0.0,1.0
615,2010,733690.9875591556,6436731.933008316,0.0,0.0
616,1984,739559.2890757965,6536873.667918502,1.0,0.0
617,1993,737359.6907062031,6532427.893344075,1.0,1.0
618,1994,738304.0621459002,6530619.92170324,1.0,0.0
619,1990,750856.0454622203,6541149.773766511,0.0,0.0
620,1997,748466.9562102446,6541889.24878727,1.0,0.0
621,1985,742509.7738740973,6543390.140074689,0.0,0.0
622,1997,744363.55385849,6537686.5436488725,1.0,0.0
623,2009,752992.7263984627,6540739.940462939,1.0,0.0
624,1980,760639.7953523296,6535598.985626269,0.0,1.0
625,1990,753463.4227177802,6539607.019831666,1.0,0.0
626,1983,762187.3488295525,6536335.960364928,0.0,1.0
627,1999,762187.3488295525,6536335.960364928,1.0,1.0
628,1983,762187.3488295525,6536335.960364928,0.0,1.0
629,1984,754670.1166997091,6531988.608698187,1.0,0.0
630,1985,756160.9035515756,6531366.392998512,0.0,1.0
631,1986,759577.5407337628,6545846.14849329,0.0,0.0
632,1983,760583.741107783,6533647.412270726,0.0,1.0
633,1984,760583.741107783,6533647.412270726,0.0,1.0
634,1985,763583.3564393129,6536363.639354829,1.0,1.0
635,1985,762304.583966416,6533444.058188344,0.0,1.0
636,1985,757456.3574287342,6546652.820671614,0.0,1.0
637,1986,763549.3485971142,6539458.888502476,0.0,0.0
638,1990,757897.7966849242,6548316.361623208,1.0,1.0
639,1998,757473.5183243154,6546663.214873831,0.0,0.0
640,1991,759041.9989193245,6539990.054730756,1.0,0.0
641,1996,761038.4409887858,6546362.672390671,0.0,0.0
642,2014,755428.6012624323,6538589.155737513,1.0,0.0
643,1980,741461.6357191594,6510939.565896831,1.0,0.0
